# genbank accession	Genus/species/strain	Genus/species	Body site
KY065455	Streptococcus pneumoniae SA42	Streptococcus pneumoniae	Nose
KY065456	Streptococcus pneumoniae 10B/2	Streptococcus pneumoniae	Nose
KY065457	Streptococcus pneumoniae 48/2	Streptococcus pneumoniae	Nose
KY065458	Streptococcus pneumoniae 23F/5	Streptococcus pneumoniae	Nose
KY065459	Streptococcus pneumoniae 9L/3	Streptococcus pneumoniae	Nose
KY065460	Streptococcus pneumoniae Sp07-2838	Streptococcus pneumoniae	Nose
KY065461	Streptococcus pneumoniae 11F/2	Streptococcus pneumoniae	Nose
KY065462	Streptococcus pneumoniae 33B/2	Streptococcus pneumoniae	Nose
KY065463	Streptococcus pneumoniae 33D/2	Streptococcus pneumoniae	Nose
KY065464	Streptococcus pneumoniae 20/4	Streptococcus pneumoniae	Nose
KY065465	Streptococcus pneumoniae 16A/1	Streptococcus pneumoniae	Nose
KY065466	Streptococcus pneumoniae 16A/1	Streptococcus pneumoniae	Nose
KY065467	Streptococcus pneumoniae 43/3	Streptococcus pneumoniae	Nose
KY065468	Streptococcus pneumoniae 35B/2	Streptococcus pneumoniae	Nose
KY065469	Streptococcus pneumoniae GA41317	Streptococcus pneumoniae	Nose
KY065470	Streptococcus pneumoniae 14/9	Streptococcus pneumoniae	Nose
KY065471	Streptococcus pneumoniae 34/5	Streptococcus pneumoniae	Nose
KY065472	Streptococcus pneumoniae 9V/4	Streptococcus pneumoniae	Nose
KY065473	Streptococcus pneumoniae SA39	Streptococcus pneumoniae	Nose
KY065474	Streptococcus pneumoniae 18C/2	Streptococcus pneumoniae	Nose
KY065475	Streptococcus pneumoniae GA13637	Streptococcus pneumoniae	Nose
KY065476	Streptococcus pneumoniae 22F/2	Streptococcus pneumoniae	Nose
KY065478	Streptococcus pneumoniae GA47373	Streptococcus pneumoniae	Nose
KY065479	Streptococcus pneumoniae 19A	Streptococcus pneumoniae	Nose
KY065480	Streptococcus pneumoniae Ala243	Streptococcus pneumoniae	Nose
KY065481	Streptococcus pneumoniae 23F/10	Streptococcus pneumoniae	Nose
KY065482	Streptococcus pneumoniae AP200	Streptococcus pneumoniae	Nose
KY065483	Streptococcus pneumoniae 44/3	Streptococcus pneumoniae	Nose
KY065484	Streptococcus pneumoniae USA11	Streptococcus pneumoniae	Nose
KY065485	Streptococcus pneumoniae 670	Streptococcus pneumoniae	Nose
KY065486	Streptococcus pneumoniae 670	Streptococcus pneumoniae	Nose
KY065487	Streptococcus pneumoniae ST556	Streptococcus pneumoniae	Nose
KY065488	Streptococcus pneumoniae 12F/3	Streptococcus pneumoniae	Nose
KY065489	Streptococcus pneumoniae 6A	Streptococcus pneumoniae	Nose
KY065490	Streptococcus pneumoniae 34/3	Streptococcus pneumoniae	Nose
KY065491	Streptococcus pneumoniae GA41538	Streptococcus pneumoniae	Nose
KY065492	Streptococcus pneumoniae 32F/2	Streptococcus pneumoniae	Nose
KY065493	Streptococcus pneumoniae 47A/1	Streptococcus pneumoniae	Nose
KY065494	Streptococcus pneumoniae Sp02-1198	Streptococcus pneumoniae	Nose
KY065495	Streptococcus pneumoniae GA07228	Streptococcus pneumoniae	Nose
KY065496	Streptococcus pneumoniae 6A/2	Streptococcus pneumoniae	Nose
KY065497	Streptococcus pneumoniae 18C/3	Streptococcus pneumoniae	Nose
KY065498	Streptococcus pneumoniae 48/6	Streptococcus pneumoniae	Nose
KY065499	Streptococcus pneumoniae A45	Streptococcus pneumoniae	Nose
KY065500	Streptococcus pneumoniae 24F/2	Streptococcus pneumoniae	Nose
KY065501	Streptococcus pneumoniae 24B/2	Streptococcus pneumoniae	Nose
KY065502	Streptococcus pneumoniae 6B/3	Streptococcus pneumoniae	Nose
KY065503	Streptococcus pneumoniae BS458	Streptococcus pneumoniae	Nose
KY065504	Streptococcus pneumoniae 70585	Streptococcus pneumoniae	Nose
KY065505	Streptococcus pneumoniae SA53	Streptococcus pneumoniae	Nose
KY629621	Streptococcus pneumoniae R6	Streptococcus pneumoniae	Nose
LK392619	Streptococcus pneumoniae	Streptococcus pneumoniae	Nose
CP002889	Streptococcus salivarius 57.I	Streptococcus salivarius	Mouth
AJ251805	Yersinia enterocolitica serotype O:3	Yersinia enterocolitica	Gut
AJ564013	Yersinia enterocolitica	Yersinia enterocolitica	Gut
AJ972879	Yersinia enterocolitica	Yersinia enterocolitica	Gut
HE956708	Yersinia enterocolitica	Yersinia enterocolitica	Gut
HE956709	Yersinia enterocolitica	Yersinia enterocolitica	Gut
KM253764	Yersinia enterocolitica serotype O:3	Yersinia enterocolitica	Gut
KP202158	Yersinia enterocolitica	Yersinia enterocolitica	Gut
KT008108	Yersinia enterocolitica	Yersinia enterocolitica	Gut
KT184661	Yersinia enterocolitica	Yersinia enterocolitica	Gut
KY318515	Yersinia enterocolitica serotype O:3 strain	Yersinia enterocolitica	Gut
KY593455	Yersinia enterocolitica serotype O:9 strain	Yersinia enterocolitica	Gut
