	H800_swab_1	H800_swab_2	H801_swab_1	H802_swab_1	H802_swab_2	H803_swab_1	H803_swab_2	H804_swab_1	H804_swab_4	H805_swab_1	H805_swab_2	H806_swab_1	H806_swab_2	H807_swab_1	H807_swab_2	H809_swab_1	H809_swab_2	H810_swab_1	H813_swab_3	H813_swab_4	H814_chip	H814_chip_2	H815_chip	H817_chip	H817_swab_1	H817_swab_2	H818_swab_1	H818_swab_2	H819_swab_1	H819_swab_2	H820_swab_1	H820_swab_2	H821_chip	H821_swab_1	H821_swab_2	H822_swab_1	H822_swab_2	H823_chip	H823_swab_1	H825_swab_1	H825_swab_2	H827_chip	H827_swab_1	H827_swab_2	H831_chip	H831_chip_2	H831_swab_1	H831_swab_2	H833_swab_1	H834_swab_1	H834_swab_2	H835_chip	H835_chip_2	H837_swab_1	H837_swab_2	H838_chip	H840_chip	H840_swab_1	H840_swab_2	H841_chip	H841_swab_1	H841_swab_2
Amino Acids and Derivatives; 	202.801505608946	156.044826808039	222.909737267855	49.5087592035828	90.529385450556	101.903338930763	306.223008237088	101.670769819629	219.555719245367	251.67004684113	243.836441994851	237.323368738869	309.267067013181	233.428257399457	231.471904577702	29.3494903599811	312.407540336123	250.321561144014	75.0692372768946	77.5452398060962	293.194838462343	222.411353096836	259.536886112728	225.591773907783	70.2467849289285	108.320024331367	81.71759047998	51.7239163023377	58.9573454985412	180.257507644312	98.4614810397138	29.3663917322238	248.73786002841	59.01361345969	202.637366042734	76.8627304534785	96.2772581508941	307.181937543107	143.193408104202	162.241997053847	121.053951883847	146.213783699449	75.2671428457135	62.9552662113485	183.530929249684	183.729717419459	184.10321491564	255.04055657103	193.049553603693	226.468296729328	238.188038629765	351.012987312216	343.454958344647	59.7696782876096	70.8725688467527	305.609433226536	236.787124031666	239.386700748242	259.022329896774	172.216198755351	224.485787243588	237.125719407073
Amino Acids and Derivatives; Alanine, serine, and glycine	1249.23967311856	1084.09211882616	1252.90608448662	734.854532840801	794.805360699072	1248.08968941584	914.715863077136	896.312222385857	1086.0809022383	938.746222195314	1206.4530425711	1064.67535839573	1636.92189812713	838.369782654564	673.888596784003	530.240848924748	1123.07490311112	1400.51058386629	772.518361668709	653.650889946228	1479.46204379913	1542.23749875244	1535.98735203442	1593.70780674642	704.182815186408	821.014017924757	619.04525298375	795.769561757301	560.406681261512	1219.08949171211	618.868596942702	520.827570237551	1451.62592367407	766.170578855741	951.285128053029	710.1482374475	872.298989621478	1596.51155767068	976.731835142508	1140.1064853588	929.860065274477	1531.66783653655	514.649620623358	758.015135182747	1480.25413030353	1185.9107026197	733.459737076172	825.936777745109	835.776603475555	1124.8325396398	1202.20356386147	1611.20178962202	1670.43564391045	1049.4337459221	1090.22745998363	2064.35959464925	1522.94759716575	985.956566281569	949.939628873184	1723.28253271033	1598.06192941946	1373.85071677437
Amino Acids and Derivatives; Arginine; urea cycle, creatine, polyamines	5244.26982063234	3754.47680436917	5330.475884673	2940.40064626162	2904.66747516282	3877.15274573695	3368.61644439451	3321.72526810765	4149.86405228256	4387.00718217157	5664.79055695105	5075.49358273562	6950.39394393898	4069.66667687696	4099.59914465256	1780.33744113822	8261.83171157867	6162.00194625475	2614.07740258272	2393.47470472145	5494.74091129164	4676.22349748966	4436.39673456434	3756.32460811548	2280.86009860549	2914.34301845703	2360.43425593774	2763.84587347547	1940.04565662229	4208.92394275369	2475.45070491307	1681.26109132197	4806.88867426934	3452.04781967542	4595.67912417481	2518.15847789705	3123.67098692652	5259.05014417268	3769.25794629421	3797.63656397664	3131.67055667885	3828.830517907	2021.82710922327	3128.21322613592	5192.03853120368	4684.50519729447	3068.68559290117	3903.61933371259	3855.15202376314	3728.87250423982	4089.71502024761	6061.08482518999	6113.633186121	3289.59775756756	3601.79275028041	5151.09794771302	5273.15497493647	7735.00816537686	6470.59860167359	4666.06595142416	6333.1037727342	5133.48380727779
Amino Acids and Derivatives; Aromatic amino acids and derivatives	3760.53506242779	3522.86827702783	4143.4292515485	2076.83666172742	2265.94394494835	3876.72186481124	2449.22866302249	2492.95349860166	3898.3960890596	3026.40434004566	4151.14190085471	4239.89110087177	3536.15068094445	2495.96077694129	2173.12963738778	1868.38591221816	3463.73298547815	4222.26126522214	2213.17398911037	2156.63974224605	3798.23468439632	3524.46736211491	3620.8143725531	3878.51585827384	2356.32973422111	2580.68561565728	2285.98891229837	2900.5010724636	1979.29435559872	3017.11170322304	2020.59773922486	1749.73057624952	3217.99260604627	2368.48658005928	3062.0748137933	2240.5017691249	2776.69654680275	3926.20639447076	2764.06372784453	2919.19699961497	2255.38208834368	3885.56880592496	1693.6563822096	1958.40363375049	3974.2164773039	3296.49596135407	2274.06845388634	2558.96038521793	4513.01105580265	2470.96984066281	2539.99429428399	4132.92591963384	4374.480850049	4114.84004468996	4339.76620863033	3634.0822084223	3416.85847099424	3400.5878056945	3635.99358940666	4296.82700251096	4156.71232405067	3547.4671199214
Amino Acids and Derivatives; Branched-chain amino acids	4151.94471847689	3657.12067500714	4644.51875841444	2425.57283116494	2308.1738913188	2161.83588825612	3108.65522850391	2774.24680339828	3999.77783469518	3077.68401868082	3514.63839613127	3401.98058657872	3442.96797264912	2815.25749005156	2707.0622922434	2237.72346844077	2241.47104013275	3956.86007012945	2333.21926739335	2249.76440838862	4534.21032339273	3917.96337617739	4311.72348437802	3385.71102322412	2182.81750277253	2609.29913493146	2037.24189948799	1853.74299219149	2303.95595189996	3219.88792044645	2238.19583610829	2011.6556599742	4444.70362275082	2398.53781071441	3009.62709751531	2175.33197063694	2393.55917068319	4611.50426160283	2735.44071718489	3392.99806964022	2848.71252452504	3103.60430007886	2141.16793188534	2074.15522332103	3438.71782205389	3140.26128601665	2329.08487526715	2685.81490537241	2609.91728878362	3567.24293902913	3880.73235607361	5218.41614352288	5303.4508565461	1991.39387244139	2081.73458773909	4449.47816829105	4423.39841616801	2771.40495197138	3487.97843705768	3294.98235334588	3921.25723185528	3698.02536234699
Amino Acids and Derivatives; Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	1861.45835751572	1218.25964591518	2083.40897970095	672.844282617333	704.521026837052	508.349212526528	1039.21945192249	1002.25487329035	1311.89628807813	1140.06410165618	1408.29081265142	1652.5008403603	1212.33905629744	1072.94210775565	1079.11834431989	442.702311074997	466.899228197067	954.921819188131	647.55112404541	597.867649175545	1783.69470599315	2293.52504663331	1909.06877271432	1661.48496068583	679.228311418061	835.158361140101	784.603092380173	361.751639291563	521.817907636052	721.7717253657	685.226272687825	421.989221906841	2095.03563243021	413.873042682516	885.332200952513	583.181174147335	661.655812258583	2184.95997267772	877.310779775573	1453.57820119848	990.186785484986	1120.70513536655	552.585214491092	570.030627852732	1237.91489261603	1033.07075544399	837.99450740833	1085.65390327509	1752.0178203993	835.500537688203	835.403284272432	2529.93419455602	2451.10187557794	398.505151540602	433.683401835845	2300.11033530073	1952.57329451632	642.297086402299	935.398389221894	1180.39588400401	980.415946349	1212.19788027728
Amino Acids and Derivatives; Histidine Metabolism	1815.10372766225	1468.23207241188	1961.57136940243	956.74969417141	1048.21068918142	1685.38786838091	1623.16163282175	1130.03287532323	1721.13196079	1894.76870336368	2425.92191803072	2783.23972643318	2277.34940256073	1412.24462713765	1306.55224903557	630.167931305791	1728.37257868022	1687.61434754867	929.511085684054	856.795724185197	2519.84829793851	2307.24715986685	2092.6815103742	1850.38157197928	940.674385171301	1086.90739317002	949.625983776016	1172.40876951966	718.237703743395	1336.13007039881	1211.36870008153	613.909185926097	2093.3814142355	891.671812624628	2040.02434321013	973.342938941451	1156.49313121525	2162.27471999942	1195.08317323497	1739.86705746794	1214.40381669769	2204.66344847423	1129.83075845531	726.224611963016	2172.18288599813	1862.61455574898	1302.67537762108	1711.07428629257	2559.79348255758	1504.15966407643	1681.21338436957	2615.29642372582	2640.62281545817	1759.57931561348	1873.9153261935	2315.10634547867	2317.12240867883	1822.55943143283	2211.77527595211	2617.76865198943	2226.76766138938	2326.10377099599
Amino Acids and Derivatives; Lysine, threonine, methionine, and cysteine	6747.03455622016	4996.00760338908	7204.05141569048	2989.76190928189	3238.9567753548	4721.03098692894	4847.14556806904	3877.42989963904	5031.95030275035	5148.75757676334	6129.87524628267	7072.19540852988	6796.39763073531	5154.29411971137	5265.27304051767	2217.13302563014	6050.68435356196	6186.33996911766	3020.9227251446	2798.53911919963	5683.63178650339	6069.13936534777	6568.19388744721	6089.15722183614	3077.71311645733	3440.07523462617	3211.85825515186	3714.69730976657	2469.4912415815	4570.12930473002	2817.32967266715	2139.11156039697	5692.94275024904	3111.85648399147	5202.97381223911	3003.4978933003	3537.68477616498	6091.04143703223	4037.37410075715	4198.5594396787	3351.62022754106	5134.14736639799	3106.12143185731	2798.01112714602	4627.47877020064	5236.86392186458	4096.87165159528	5113.38587835528	6659.65349948824	4481.21622721927	4903.50028815795	6153.69584938789	6084.87158124711	4926.8826078461	5079.93210618299	5977.57160542289	5475.66029882004	6621.99618707582	6768.63926518887	5288.23162996875	6426.67416686852	6166.65437090435
Amino Acids and Derivatives; Proline and 4-hydroxyproline	1744.32396703909	1477.14129081398	1640.7915488842	908.559836322997	938.302532501433	1160.60649879889	1815.64466657078	1068.63901071426	1466.95054801809	1648.15069968507	1739.12020923117	2304.12430131032	2110.04320303006	1990.25256182267	1998.36044151253	942.455763079796	2007.32126600411	1845.31629686225	1100.96089559442	950.072876807497	2030.23573327241	1741.01468052931	1720.43045799879	2024.14254514516	1093.27962327404	1104.01817193645	1113.70081786123	839.43393291588	986.831656867632	1362.57462754663	1231.36650515427	839.231773941965	1550.7728265354	1062.25716752888	1576.78918416649	914.803361363463	1044.65992741763	1969.26273155869	1162.45231424455	1224.29497298396	1059.66404465841	1289.78215635496	1202.21918308527	1016.36029176805	1085.74839453318	1491.15720215508	1435.91168699525	1703.41806778565	1884.90849340746	1465.7167797954	1547.29934935227	2073.14415698871	2115.63242744241	1137.15380293146	1135.51789111143	1718.88348920353	1453.06016227014	1563.36112604436	1652.38005283555	1447.5125056704	1744.59089753909	1670.74149831723
Carbohydrates; 	0.792064464542668	3.47112405276687	1.15825122082888	3.19733661859667	4.80942370022433	23.9569794695577	10.5853253674188	7.13918556171093	0.77898073175578	6.202776912044	0.805103065268905	13.4218533510935	10.0267247663035	0.489316124933354	0.100418020134211	1.98307367297169	0.466477177417499	0.434884901187617	0.701800286166045	0.84454050310678	1.56449595460452	0.517536598247438	8.2443384162871	27.2070481094814	0.534534825077452	3.00579718082929	0.456895089462905	0.204039117563463	0.404625762643691	0.479248940230806	0.284194292838621	0.937724057441952	58.5289511807474	0.582012214108305	1.5223809794938	0.518661348889452	8.90425508910003	64.3770684113627	3.99609510988472	32.5355862759533	16.2857654695484	92.8662300251868	0.188974937576851	0.532578917544012	185.24617157912	17.4545309468837	0.757210919587224	4.65685739326288	0.764384506129887	5.4544387458894	0.59542047820123	47.5772305249229	67.8493005353938	36.3649137895572	5.82968006715772	210.869562474055	31.2755924118466	0.862182640713288	1.3912772481649	137.711135823216	43.8821951127758	14.3954905542236
