	H800_swab_1	H800_swab_2	H801_swab_1	H802_swab_1	H802_swab_2	H803_swab_1	H803_swab_2	H804_swab_1	H804_swab_4	H805_swab_1	H805_swab_2	H806_swab_1	H806_swab_2	H807_swab_1	H807_swab_2	H809_swab_1	H809_swab_2	H810_swab_1	H813_swab_3	H813_swab_4	H814_chip	H814_chip_2	H815_chip	H817_chip	H817_swab_1	H817_swab_2	H818_swab_1	H818_swab_2	H819_swab_1	H819_swab_2	H820_swab_1	H820_swab_2	H821_chip	H821_swab_1	H821_swab_2	H822_swab_1	H822_swab_2	H823_chip	H823_swab_1	H825_swab_1	H825_swab_2	H827_chip	H827_swab_1	H827_swab_2	H831_chip	H831_chip_2	H831_swab_1	H831_swab_2	H833_swab_1	H834_swab_1	H834_swab_2	H835_chip	H835_chip_2	H837_swab_1	H837_swab_2	H838_chip	H840_chip	H840_swab_1	H840_swab_2	H841_chip	H841_swab_1	H841_swab_2
Amino Acids and Derivatives; 	1536.25	1168.83333333333	1732.08333333333	247.75	470.583333333333	591.25	781.083333333333	541.166666666667	1409.25	2475	3331.5	3005.91666666667	3053.58333333333	2385.25	2305.08333333333	148	3348.58333333333	2302.41666666667	534.833333333334	550.916666666667	4122.91666666667	859.5	2707.33333333333	547.25	525.666666666667	648.666666666667	715.416666666667	253.5	291.416666666667	1504.5	692.916666666667	156.583333333333	2035.66666666667	405.583333333333	1996.58333333333	444.583333333333	302.75	128.833333333333	609.166666666667	1271.58333333333	564.916666666667	916.333333333333	796.583333333333	236.416666666667	8.91666666666667	368.416666666667	1215.66666666667	2464.5	2273	1038	2000.16666666667	3128.16666666666	890.916666666667	338.583333333333	534.916666666666	2421.75	613.25	4720.08333333334	3351.16666666666	1114.25	3008	3656.83333333333
Amino Acids and Derivatives; Alanine, serine, and glycine	9463.16666666667	8120.24999999999	9735.50000000001	3677.33333333334	4131.5	7241.49999999999	2333.16666666667	4770.83333333333	6971.16666666666	9231.91666666666	16483.5833333333	13485.0833333333	16162.3333333333	8566.75000000001	6710.83333333333	2673.83333333333	12037.8333333333	12881.6666666667	5503.83333333333	4643.83333333333	20804.25	5959.91666666667	16022.5	3866.08333333333	5269.5	4916.58333333334	5419.58333333333	3900.08333333333	2770	10175	4355.25	2777.08333333333	11880.0833333333	5265.66666666667	9373	4107.58333333333	2743	669.583333333333	4155.16666666667	8935.66666666666	4339.33333333333	9599.08333333333	5446.75	2846.58333333333	71.9166666666667	2378	4843.16666666667	7981.16666666667	9840.58333333334	5155.58333333333	10095.4166666667	14358.75	4333.08333333333	5944.83333333333	8228.58333333333	16358.6666666667	3944.25	19440.5	12290.0833333333	11149.75	21413.25	21186.8333333334
Amino Acids and Derivatives; Arginine; urea cycle, creatine, polyamines	39726.0833333333	28122.4166666666	41419.5833333334	14714.25	15098.8333333333	22495.5	8592.33333333335	17680.6666666667	26636.5	43143.1666666666	77397.1666666666	64285.7499999999	68625.4999999999	41585.25	40825.3333333334	8977.66666666668	88555.5833333332	56677.0833333333	18624.0833333334	17004.3333333333	77267.2500000001	18071.0833333333	46277.8333333335	9112.25000000001	17068	17452.3333333333	20665	13545.6666666667	9589.33333333334	35129.3333333334	17420.8333333333	8964.58333333333	39339.5	23724.9166666667	45281.1666666667	14565.3333333333	9822.58333333333	2205.66666666667	16035	29764.25	14614.4166666667	23995.5833333333	21397.8333333333	11747.4166666667	252.25	9393.41666666667	20263.0833333333	37721.3333333333	45391.25	17091	34343.0833333334	54015.3333333334	15858.6666666667	18634.9166666667	27184.8333333333	40819.0000000001	13656.8333333334	152514.25	83714.9999999999	30189.75	84860.5	79166.0000000001
Amino Acids and Derivatives; Aromatic amino acids and derivatives	28486.5833333333	26387.5833333333	32195.8333333333	10392.8333333333	11778.6666666666	22493	6247.25	13269.3333333334	25022.4166666667	29762.5833333333	56716.4166666668	53702.0833333333	34914.5833333334	25504.5833333333	21640.8333333333	9421.66666666667	37126.5	38835.6666666666	15767.8333333333	15321.75	53410.9166666667	13620.1666666667	37770.1666666667	9408.66666666667	17632.75	15454.25	20013.25	14215.4166666666	9783.33333333333	25182	14219.8333333333	9329.66666666667	26336	16277.9166666667	30170.5833333333	12959.3333333333	8731.50000000001	1646.66666666667	11758.75	22879.4166666667	10525.0833333333	24351.1666666667	17924.6666666667	7354.41666666667	193.083333333333	6610.16666666667	15016.0833333333	24727.6666666667	53137.0000000001	11325.5	21329.4166666667	36831.9166666667	11347.3333333333	23309.75	32754.75	28797.6666666667	8849.25	67050.75	47041.5833333333	27800.75	55697.9166666666	54707.25
Amino Acids and Derivatives; Branched-chain amino acids	31451.5666666667	27393.1833333333	36089.4666666667	12137.9666666667	11998.1833333333	12543.1166666667	7929.24999999999	14766.5833333333	25673.15	30266.8833333334	48019.9666666667	43089.1833333334	33994.5333333334	28767.2666666667	26957.9333333334	11284.1166666667	24025.5166666667	36394.55	16623.1	15983.35	63760.2333333334	15140.8166666667	44977.3166666667	8213.2	16334.3333333333	15625.6	17835.5333333333	9085.23333333333	11388.0833333333	26874.45	15751.1666666667	10726.2666666667	36375.3833333334	16484.45	29653.8166666666	12582.3833333333	7526.7	1934.08333333333	11636.9833333333	26592.8666666667	13293.95	19450.5333333333	22660.8666666667	7789.1	167.066666666667	6296.88333333333	15379.3666666667	25953.4833333333	30729.6333333334	16350.1833333333	32588.1666666667	46505.6166666667	13757.0666666667	11280.85	15712.0666666667	35259.1333333333	11456.0666666667	54644.9	45126.6	21318.75	52542.9333333333	57029.0833333333
Amino Acids and Derivatives; Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	14100.8095238095	9125.21428571429	16188.7857142857	3367.02380952381	3662.19047619048	2949.47619047619	2650.73809523809	5334.73809523811	8420.59523809524	11211.7380952381	19241.2619047619	20930.4285714286	11970.1666666667	10963.6904761905	10746.2619047619	2232.40476190476	5004.52380952381	8783.21428571428	4613.5	4247.52380952381	25082.380952381	8863.23809523809	19914.2619047619	4030.5	5082.7619047619	5001.28571428571	6869	1772.95238095238	2579.2619047619	6024.19047619048	4822.2380952381	2250.07142857143	17145.7380952381	2844.42857142857	8723.16666666666	3373.19047619048	2080.61904761904	916.380952380953	3732.21428571429	11392.5238095238	4620.85714285715	7023.54761904762	5848.2380952381	2140.64285714285	60.1428571428571	2071.52380952381	5533.42857142857	10490.8571428571	20628.5714285714	3829.45238095238	7015.2380952381	22546.3333333333	6358.11904761905	2257.45238095238	3273.2619047619	18226.8333333333	5056.92857142857	12664.4285714286	12101.9523809524	7637.2380952381	13137.0952380952	18693.9047619048
Amino Acids and Derivatives; Histidine Metabolism	13749.6666666667	10997.6	15242.0666666667	4787.73333333333	5448.73333333332	9778.73333333333	4140.2	6014.86666666664	11047.3333333333	18633.7333333333	33145	35252.2666666667	22485.6666666667	14430.8	13011.1333333333	3177.73333333333	18525.8	15522.4	6622.33333333333	6087.06666666667	35434.2	8916.26666666667	21829.6	4488.73333333333	7039.2	6508.86666666665	8313.73333333332	5746	3550.13333333333	11151.8666666666	8524.93333333332	3273.4	17132.2	6128.2	20100.3333333334	5629.93333333333	3636.66666666667	906.866666666666	5084.06666666667	13636.3333333333	5667.2	13816.8	11957.4666666667	2727.2	105.533333333333	3734.93333333334	8601.8	16534.4	30139.4666666667	6894.2	14117.8666666667	23307.0666666667	6849.73333333333	9967.66666666667	14143.5333333333	18345.6666666667	6001.06666666666	35936.1333333334	28615.4	16937.1333333334	29837.6	35872
Amino Acids and Derivatives; Lysine, threonine, methionine, and cysteine	51109.7380952383	37421.9404761908	55977.8928571431	14961.2619047618	16836.5119047617	27391.7380952382	12363.619047619	20638.5357142857	32298.2976190477	50634.4523809526	83751.5476190469	89575.7976190472	67105	52668.3452380952	52433.5476190478	11180.2857142856	64855.0952380954	56900.9404761906	21522.6666666666	19882.0952380951	79923.4404761903	23453.9523809525	68515.4642857141	14771.3333333333	23030.9642857142	20600.6428571428	28119	18205.8095238095	12206.2976190476	38144.0952380952	19826.7857142857	11405.869047619	46590.9523809524	21386.8809523808	51264.8333333334	17372.5952380952	11124.4761904761	2554.60714285714	17175.6071428569	32906.511904762	15640.8452380952	32176.1071428572	32873.3690476191	10507.4047619047	224.821428571429	10501.0119047619	27052.3809523811	49411.511904762	78411.952380952	20539.3095238095	41176.785714286	54840.6666666669	15784.0595238095	27909.8095238095	38341.2142857143	47368.25	14181.2976190476	130568.547619047	87570.9761904761	34215.2023809524	86114.2976190476	95099.035714285
Amino Acids and Derivatives; Proline and 4-hydroxyproline	13213.5	11064.3333333333	12749.5	4546.58333333333	4877.41666666667	6733.91666666668	4631.16666666667	5688.08333333332	9415.83333333334	16208.4166666667	23761.3333333333	29183.8333333334	20833.75	20337.0833333333	19900.4166666667	4752.5	21515.75	16972.9166666666	7843.83333333333	6749.75	28549.25	6728.08333333333	17946.5	4910.25	8181.16666666667	6611.33333333334	9750.16666666668	4114.08333333332	4877.75	11372.5833333333	8665.66666666667	4474.83333333333	12691.5	7300.58333333333	15536.0833333333	5291.33333333334	3285	825.916666666667	4945.25000000001	9595.5	4945.08333333332	8083.16666666666	12723.5833333333	3816.75	52.75	2990.08333333334	9481.58333333335	16460.4166666667	22193.25	6717.99999999999	12993.3333333334	18475.5	5487.91666666667	6441.75	8570.41666666667	13621	3763.25	30825.4166666667	21378.0833333333	9365.5	23376.6666666667	25765.3333333334
Carbohydrates; 	6	26	9	16	25	139	27	38	5	61	11	170	99	5	1	10	5	4	5	6	22	2	86	66	4	18	4	1	2	4	2	5	479	4	15	3	28	27	17	255	76	582	2	2	9	35	5	45	9	25	5	424	176	206	44	1671	81	17	18	891	588	222
