#NAME	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_chip_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_chip_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_chip_S1	H827_swab_1_S1	H827_swab_2_S1	H831_chip_2_S1	H831_chip_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H835_chip_2_S1	H835_chip_S1	H837_swab_1_S1	H837_swab_2_S1	H838_chip_S1	H840_chip_S1	H840_swab_1_S1	H840_swab_2_S1	H841_chip_S1	H841_swab_1_S1	H841_swab_2_S1
o__Tritrichomonadida	6	12	3	65	60	19	2	24	7	5	10	2	6	5	6	3	6	4	23	13	0	2	3	4	6	20	6	4	12	3	1	3	1	6	2	20	14	0	15	2	8	0	8	4	0	0	3	5	5	9	13	1	2	0	0	2	0	0	12	1	0	2
o__Ceratodontiformes	0	1	0	0	2	2	0	0	0	0	1	0	0	1	1	1	3	0	2	1	0	0	0	0	0	1	5	13	0	1	2	0	1	0	7	3	1	0	1	1	4	0	0	4	4	0	0	0	2	1	2	0	2	2	0	0	0	0	0	0	1	2
o__Gaviiformes	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
o__Holocentriformes	0	0	0	2	25	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	3	5	0	0	0	1	0	0	0	1	2	0	0	0	2	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
o__Imitervirales	68	484	102	14	33	30	5	182	64	30	21	34	27	52	42	5	39	7	244	127	0	16	8	2	60	109	45	28	16	20	11	8	3	30	18	62	39	0	79	51	22	2	15	12	2	0	32	27	19	22	8	0	1	11	10	3	3	22	16	1	15	14
o__Bonnemaisoniales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Russulales	95	243	39	516	542	186	88	756	454	267	65	45	26	113	104	609	124	34	343	474	96	10	20	8	342	1149	108	443	548	223	402	305	16	245	114	371	679	0	1436	288	408	44	254	175	38	1	109	88	58	239	359	9	30	383	262	27	21	164	15	8	22	43
o__Bacteroidetes Order II. Incertae sedis	332	1280	797	263	260	449	32	576	138	3514	761	609	419	554	100	74	54	77	144	208	117	1191	645	78	89	196	35	94	30	35	11	61	2987	103	61	231	137	58	250	19411	986	2025	22	25	1229	20	72	230	52	749	1835	330	1244	252	814	2078	1606	1053	2297	7812	20325	5337
o__Symphypleona	14	10	27	25	254	68	5	298	3	42	72	22	251	24	15	16	31	14	26	59	8	7	12	3	26	190	11	64	12	8	12	11	3	16	10	263	498	6	526	23	29	2	36	14	9	0	12	7	8	23	128	3	6	7	18	5	0	209	96	5	99	34
o__Dictyoglomales	21	10	6	0	15	6	17	7	2	25	10	31	11	124	234	2	1	3	12	6	3	31	25	0	1	8	5	0	0	0	27	3	13	4	20	4	5	4	6	9	5	6	5	8	0	0	12	29	22	2	3	3	6	1	11	78	2	0	14	5	19	14
o__Rhodobacterales	35186	14418	46005	1967	2871	2870	1836	4661	3859	16042	18739	132096	57003	9027	2885	2627	4842	7644	3553	4272	1546	7600	8998	1087	1483	3479	1192	956	890	3926	881	1529	4395	2551	3864	2949	2786	1872	4997	5171	2338	2024	1811	2720	23357	16	1608	3220	7627	2481	4146	3012	7274	1220	2029	4136	1877	6014	8957	3071	556709	43273
