#NAME	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_chip_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_chip_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_chip_S1	H827_swab_1_S1	H827_swab_2_S1	H831_chip_2_S1	H831_chip_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H835_chip_2_S1	H835_chip_S1	H837_swab_1_S1	H837_swab_2_S1	H838_chip_S1	H840_chip_S1	H840_swab_1_S1	H840_swab_2_S1	H841_chip_S1	H841_swab_1_S1	H841_swab_2_S1
s__Viruses	12884	1295	1387	6678	1181	1177	925	1759	635	3506	4787	3706	1992	1141	8708	261	43577	1804	934	1631	606	872	1320	763	1180	1301	3939	2365	499	351	639	309	909	467	617	713	636	17	789	1704	456	1036	7116	267	1019	21	380	9262	1378	561	1135	154	546	1191	1324	642	527	4584	6845	1150	7480	4218
s__Bacteria	4229227	3443264	4293722	695306	1167320	663572	1465236	1683881	2918034	5969611	8400765	7979438	6002664	5784827	5953117	306273	4057428	5729766	1811718	1609520	2437789	10425410	6965600	910164	1597965	1749594	2918275	323298	641987	3838048	1650609	451278	5338214	1759361	5641726	971661	815213	294649	1797567	3487206	1195544	1816612	3270096	862967	984996	19419	3165284	6508157	7402048	2168089	4539646	1903845	6526188	196251	373054	5041804	1445019	9068929	7152651	2406785	7810060	9626205
s__Eukaryota	426810	1875245	439298	3271706	2306153	519295	397031	2249436	1561921	1093952	527105	288134	164642	1384533	983058	3874384	2159349	290150	3823619	3901818	74644	36768	54729	88960	3761263	2855054	3779212	1370151	3354556	2078373	3861689	3921389	47187	3402052	1385850	3060097	1306135	6731	1445186	1878220	2293027	17312	4923835	2085562	261946	626	1902370	590202	480085	1479469	2082728	9565	27406	131099	101390	24211	96968	1505863	518995	22247	408372	594347
s__Archaea	3584	4664	2875	147473	454518	3369446	9237	62408	2785	78156	13261	43713	88002	76368	30255	22156	15723	2280	8737	7558	30690	30245	19237	691740	637990	29573	79128	2360885	2643	2185	3510	3521	781326	2824	3908	621351	327351	1230	7207	749618	273801	3071130	7053	7931	19103	18104	20981	132984	4457	18091	24949	5728	19849	4323954	5677972	879994	463934	7943	8286	2675592	158119	45720
