#NAME	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_chip_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_chip_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_chip_S1	H827_swab_1_S1	H827_swab_2_S1	H831_chip_2_S1	H831_chip_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H835_chip_2_S1	H835_chip_S1	H837_swab_1_S1	H837_swab_2_S1	H838_chip_S1	H840_chip_S1	H840_swab_1_S1	H840_swab_2_S1	H841_chip_S1	H841_swab_1_S1	H841_swab_2_S1
g__Citromicrobium	193	507	267	19	32	10	5	105	209	114	304	912	323	294	32	15	18	168	15	25	16	12	34	2	11	51	1	9	5	52	2	18	40	12	74	40	15	2	27	19	8	1	6	0	41	0	1	8	100	10	14	0	1	0	2	11	7	11	103	3	475	225
g__Labeo	0	5	0	4	6	3	0	4	1	1	0	0	0	0	1	4	1	1	8	3	0	0	4	1	4	1	2	14	0	2	1	4	0	1	5	8	2	2	1	3	2	1	2	2	3	0	1	1	1	0	2	0	0	2	0	1	0	2	0	3	0	0
g__Dioscovirus	0	0	0	0	1	0	0	7	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	2	0	4	0	2	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
g__Laceyella	44	7	2	4	4	9	14	5	1	46	12	88	32	122	183	2	3	0	8	5	1	41	16	3	18	7	22	1	0	0	25	3	141	0	19	8	1	0	4	41	19	12	21	5	2	0	25	100	56	113	403	8	28	3	8	32	12	2	6	11	9	7
g__Boudabousia	5	6	3	0	18	2	10	5	18	20	18	9	45	6	12	4	2	8	7	11	11	33	115	10	0	5	19	2	7	10	5	1	16	5	6	5	2	2	1	12	0	7	2	2	4	0	20	15	12	29	53	15	41	2	0	18	0	1	8	1	1	3
g__Candidatus Laterigemmans	157	791	350	30	33	19	5	194	87	20	15	9	7	76	27	10	40	4	59	33	12	107	62	0	37	42	11	8	8	3	6	24	18	14	6	29	22	0	44	69	25	3	3	4	0	0	11	7	11	12	14	9	21	0	0	27	1	4	41	4	28	55
g__Veillonella	18	36	24	8	388	40	48	32	29	116	114	77	70	191	302	13	6	20	27	140	44	48	42	88	19	21	74	2	4	12	103	3	27	51	101	15	28	9	28	19	20	4	239	16	275	1	149	322	144	21	96	27	75	2	20	35	13	10	105	16	62	74
g__Sediminispirochaeta	5	3	10	3	1	4	0	7	2	15	3	38	7	21	6	2	0	1	6	7	2	108	10	0	24	7	7	1	1	1	3	1	5	1	4	1	0	0	5	0	1	7	14	0	1	0	7	10	17	4	1	10	55	0	0	6	0	4	3	7	16	15
g__Jedunavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
g__Halobiforma	1	3	0	37	196	1522	5	23	4	26	1	23	43	26	8	12	6	0	5	4	10	0	1	279	348	21	22	947	0	2	0	1	218	0	1	347	153	2	1	298	117	1188	2	2	5	7	9	87	0	6	3	0	11	2292	2906	286	192	2	2	1086	67	14
