#NAME	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_chip_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_chip_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_chip_S1	H827_swab_1_S1	H827_swab_2_S1	H831_chip_2_S1	H831_chip_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H835_chip_2_S1	H835_chip_S1	H837_swab_1_S1	H837_swab_2_S1	H838_chip_S1	H840_chip_S1	H840_swab_1_S1	H840_swab_2_S1	H841_chip_S1	H841_swab_1_S1	H841_swab_2_S1
c__Gammaproteobacteria	65759	118226	147066	21644	34350	141220	23292	46907	85467	165310	1697763	1791908	1262593	60842	39795	12032	2482885	304891	32633	52650	14451	48888	36312	5380	16288	35361	18100	8269	12758	71165	18437	15336	30604	36601	81830	20767	17460	1703	41872	37399	15283	13364	26354	20888	81798	215	23856	64589	2043501	19100	33669	10449	34026	6023	10902	29363	11709	3865633	1498953	19395	1242235	331835
c__Candidatus Thermofonsia	60	72	115	97	109	61	20	216	63	152	109	187	105	109	64	13	46	21	133	184	154	2029	786	23	68	192	32	41	26	27	29	49	363	85	45	139	114	63	301	338	153	214	23	31	16	2	50	104	132	231	377	328	942	28	38	463	144	87	41	390	151	104
c__Endomicrobia	2	0	2	3	0	1	1	5	0	3	1	22	0	14	2	2	82	2	2	5	1	33	13	0	3	3	0	0	0	1	0	0	1	3	4	1	2	0	2	0	1	2	0	0	0	0	3	7	0	0	0	0	3	1	0	1	0	0	1	5	0	2
c__Polypodiozoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Candidatus Nanoperiomorbia	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Kiritimatiellae	49	172	95	33	63	18	15	78	59	77	126	69	81	63	68	15	29	56	76	98	12	208	84	8	31	83	23	17	13	16	13	16	230	24	56	51	23	3	100	173	49	188	7	19	18	4	10	38	71	42	55	13	56	20	16	219	84	57	76	175	139	109
c__Negativicutes	498	321	203	141	860	309	365	299	279	1214	479	1223	1160	2492	3005	108	131	221	401	1262	188	1134	644	199	329	259	638	66	32	107	660	62	840	174	936	151	210	34	273	708	378	301	1885	88	488	7	1063	2438	1129	402	796	291	957	113	247	696	239	197	2493	289	609	641
c__Mucoromycetes	218	783	149	1747	1110	358	297	1427	1086	469	195	56	106	355	438	1393	478	117	2802	2642	12	42	31	48	1313	1459	860	498	1678	700	1208	738	45	1182	390	584	391	2	413	304	364	32	1398	748	108	0	1251	847	148	4752	194	31	57	988	147	18	12	343	48	12	42	28
c__Miaviricetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Thermotogae	106	81	93	35	47	48	99	72	38	356	98	396	392	441	652	24	13	30	75	75	101	1175	418	41	63	73	104	14	11	11	156	21	559	27	152	40	34	30	83	377	114	269	257	18	28	0	165	393	199	68	86	151	586	30	71	414	180	50	117	359	192	145
c__Flavobacteriia	1342	2749	1323	892	1970	1674	8199	3810	1023	28732	35047	3162	10039	3996	3149	285	1054	3478	868	4543	916	2592	1005	425	720	1986	725	996	335	1713	742	514	1340	585	1260	2077	1621	80	2917	2766	872	853	1561	455	14557	7	1086	2947	2023	711	5297	662	1871	1596	2047	1127	723	1195	14568	1423	17465	210284
c__Candidatus Muproteobacteria	1	17	5	9	9	0	0	16	11	7	74	28	10	9	1	0	6	11	11	29	1	16	28	0	2	24	4	0	4	4	0	7	30	1	8	9	9	2	15	23	6	7	2	2	9	0	2	9	7	7	2	2	28	2	2	34	30	20	65	7	90	69
c__Opitutae	226	707	367	292	720	190	98	1645	231	749	843	1200	405	539	445	121	284	330	568	914	147	862	812	41	275	760	170	113	125	219	111	255	777	178	352	673	415	46	848	865	313	212	85	59	141	4	238	283	1067	297	518	150	655	59	102	447	334	401	606	416	1156	949
c__Chromadorea	22059	48687	22734	1166	2588	969	1475	3222	15241	8818	20609	14201	12964	4498	1918	690	1565	11154	1959	1988	808	1513	1810	191	991	2246	1073	610	880	4721	1000	815	565	1951	14475	2549	1766	84	1942	1016	758	177	431	1097	2473	7	618	957	11436	551	972	374	1184	293	472	506	155	5392	8638	262	20017	22259
c__Cubozoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Flasuviricetes	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	12	0	2	0	0	0	0	0	0	0	0	0
c__Cephalopoda	142	459	146	28	109	46	43	48	229	132	320	457	199	84	51	27	16	169	90	60	11	6	31	10	41	115	39	38	28	54	42	40	3	35	133	124	159	6	142	43	31	7	109	138	36	0	23	9	592	6	57	5	13	8	3	20	4	17	135	5	226	475
c__Chlamydiia	432	710	738	111	248	171	53	460	165	271	272	162	976	194	517	74	152	124	543	450	137	470	225	36	245	246	168	144	94	149	53	76	836	110	93	197	206	11	359	363	151	171	168	19	64	0	95	266	169	367	719	66	247	119	163	433	143	114	104	147	215	158
c__Polychaeta	50	39	64	69	130	71	2	44	30	43	67	21	40	82	149	27	15	11	68	38	7	28	16	4	54	33	49	44	29	51	28	39	31	20	22	92	147	11	78	65	23	16	40	15	7	0	31	29	16	32	68	11	52	16	4	22	28	20	31	24	25	23
c__Polintoviricetes	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Candidatus Limnocylindria	0	2	0	2	1	0	0	2	0	0	0	7	0	0	0	1	0	0	2	2	10	33	9	9	0	2	1	0	0	0	0	1	30	0	2	0	0	0	6	24	12	9	0	2	0	0	0	1	0	2	0	0	8	0	0	14	15	0	0	18	0	0
c__Calditrichia	22	47	40	25	33	41	40	72	29	147	83	174	44	108	109	11	16	157	63	62	14	171	238	5	45	89	20	15	10	4	161	17	159	7	44	48	47	2	67	500	32	25	61	7	22	1	50	84	108	42	129	16	72	3	7	90	52	30	62	131	276	149
c__Insecta	4309	5696	7478	3757	10109	3763	2812	8639	9918	7759	16167	14063	19965	4529	4349	2356	37327	6493	4959	5490	944	1659	3197	2950	4329	6026	3771	14135	3030	5864	3885	2667	974	3452	16410	9496	144110	335	109986	6074	2223	569	3373	1777	1813	7	1591	2237	9749	2010	19059	523	1303	1066	1260	899	409	13130	10114	531	10984	15473
c__Candidatus Aquicultoria	0	1	3	0	1	0	0	1	0	13	0	1	13	9	1	3	3	0	2	3	3	40	31	0	5	9	3	2	0	0	1	3	23	2	0	0	2	0	2	21	2	9	1	2	0	0	12	5	0	6	36	3	3	0	0	14	0	0	2	12	3	0
c__Hydrogenophilia	103	65	190	40	190	35	10	65	47	68	507	1175	49	187	74	8	26	439	69	57	21	150	305	6	30	61	50	8	17	245	5	32	205	94	371	40	21	1	51	174	68	52	18	75	52	0	52	141	1149	39	105	33	145	12	20	233	59	306	457	145	435	714
c__Chlorobia	38	83	73	35	50	124	41	69	20	311	430	258	77	191	24	6	23	112	95	69	42	214	127	13	57	78	22	43	8	14	11	28	280	19	976	47	49	13	83	312	72	151	29	4	41	0	33	100	145	136	345	62	209	34	54	150	47	123	201	143	431	509
c__Candidatus Geothermincolia	9	45	4	3	3	2	0	15	3	13	7	25	17	11	34	0	0	0	7	12	6	33	47	0	7	11	4	0	0	0	6	0	23	2	30	5	4	1	9	58	26	15	3	0	0	1	13	11	6	8	14	3	28	10	13	52	17	1	9	34	9	10
c__Holophagae	121	141	146	79	96	183	25	178	58	127	309	269	105	118	89	56	127	81	148	186	78	628	364	36	102	176	24	39	47	39	131	66	286	58	50	132	92	8	184	279	82	90	33	18	43	0	29	60	258	125	124	161	354	42	88	434	97	154	192	271	236	262
c__Aves	55	95	40	128	274	95	41	132	188	101	55	263	80	109	183	189	81	45	116	213	132	39	112	56	129	536	110	144	176	72	188	135	33	93	40	160	170	7	163	81	85	39	87	45	218	0	37	38	190	95	129	29	103	33	23	35	21	70	40	34	73	80
c__Gloeobacteria	150	99	187	61	76	20	29	54	22	192	144	48	26	154	320	9	46	26	91	114	29	389	317	5	36	91	13	15	18	25	13	50	71	115	24	51	124	3	239	147	29	56	13	10	13	2	25	43	59	181	145	47	167	4	11	159	20	38	72	405	232	64
c__Echinamoebida	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	5	0	2	0	0	0	1	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
c__Nitrospinia	16	19	12	10	23	4	1	19	26	54	26	50	25	74	22	7	5	17	22	31	50	84	52	1	18	47	17	6	20	3	50	20	87	5	64	21	13	2	25	84	34	24	3	4	4	0	37	46	25	11	11	17	128	3	8	52	29	3	26	34	32	34
c__Bryopsida	340	876	39	59	67	19	829	68	148	714	970	267	492	969	870	32	26	43	119	56	34	93	80	9	50	71	10065	26	51	41	186	38	33	26	13814	105	42	5	45	45	80	9	447	83	101	0	6856	16791	10855	36	73	13	29	2	9	20	4	459	1056	27	475	961
c__Phytomyxea	60	833	61	107	90	31	11	52	49	54	72	117	61	57	72	27	18	63	745	102	19	59	122	5	53	87	36	31	38	44	19	25	22	71	40	51	35	0	67	53	43	3	39	25	14	1	28	36	19	48	59	4	40	1	1	15	13	37	70	13	30	55
c__Eumycetozoa	56	531	34	308	248	66	35	371	234	125	352	295	94	147	175	61	57	62	492	162	17	35	116	7	92	291	34	115	75	70	64	84	39	57	24	146	151	1	241	112	111	12	56	21	12	0	39	93	469	70	110	18	45	56	33	35	5	291	89	14	87	93
c__Candidatus Poseidoniia	3	17	7	13	26	4	0	12	3	28	7	31	6	16	13	2	5	1	17	14	8	137	41	15	6	12	5	0	0	1	18	6	22	0	3	7	14	12	15	39	13	13	1	4	2	0	0	13	2	3	3	6	39	7	12	114	11	4	7	27	5	11
c__Erysipelotrichia	271	162	55	131	229	127	363	198	87	1002	226	871	931	1691	2530	63	141	40	170	486	81	317	142	310	189	146	389	106	16	61	640	94	338	89	682	308	166	15	300	401	397	135	699	86	167	0	704	1598	780	75	277	65	232	55	46	229	99	109	526	124	745	849
c__Culicoidibacteria	46	3	6	0	2	3	31	0	0	33	4	43	44	306	425	2	2	0	4	3	0	1	1	1	9	3	12	0	0	0	3	0	0	0	8	2	2	0	5	0	0	0	7	0	1	0	26	54	12	2	0	2	2	0	0	5	0	0	5	0	1	17
c__Ginkgoopsida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
c__Tolucaviricetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__Branchiopoda	233	85	152	73	252	118	61	96	68	215	504	367	151	127	142	46	29	1173	126	72	14	169	49	2	63	101	34	54	57	786	46	41	8	389	395	157	290	5	241	55	51	4	32	45	76	0	28	54	287	42	75	3	12	13	12	4	0	577	450	4	817	803
c__Chthonomonadetes	63	177	63	210	476	83	20	351	124	157	35	102	73	180	290	97	348	54	440	426	76	674	462	18	282	1285	138	173	31	36	81	226	165	215	429	454	439	14	824	415	275	99	21	43	34	0	121	108	58	1586	1038	138	360	23	79	247	54	59	52	122	69	67
c__Leotiomycetes	1442	8030	2020	23687	14891	1668	1555	16364	6053	4353	1040	713	498	8368	4862	15254	9930	586	19228	21143	94	163	776	560	24035	18838	21979	9703	16985	12178	22202	26301	322	20311	6275	11136	6020	10	9343	8714	10379	211	37692	15720	876	4	10855	2009	988	12736	16454	45	155	878	577	102	292	3865	462	98	579	576
c__Chlorokybophyceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
c__Lingulata	0	6	0	43	96	16	3	37	16	11	5	3	1	6	6	20	6	1	34	17	2	35	19	2	16	14	21	19	11	7	9	23	1	7	16	28	65	3	23	12	21	2	9	9	2	0	19	21	12	6	34	6	2	6	1	1	0	2	7	3	7	1
c__Amphibia	6	20	4	52	75	30	2	25	14	16	5	8	3	7	15	22	18	2	63	45	20	7	9	5	38	39	32	81	33	30	47	40	7	34	10	49	71	0	54	37	28	3	58	22	28	0	21	29	6	15	39	6	14	20	17	10	2	12	20	10	14	45
c__Demospongiae	20	105	19	33	62	16	2	193	52	27	11	7	11	29	16	40	13	44	335	279	4	3	17	1	108	151	57	41	54	23	62	57	11	18	35	107	114	2	86	41	44	2	66	48	11	0	20	17	9	131	195	0	4	10	0	13	3	17	13	4	9	4
c__Xanthophyceae	13	39	11	14	22	17	2	19	14	10	26	30	4	9	10	9	2	5	45	38	5	16	13	1	13	25	6	19	14	2	14	5	8	15	3	15	19	2	21	11	18	6	15	21	3	0	10	8	15	8	23	7	12	25	34	16	2	7	43	10	12	79
c__Sordariomycetes	8292	33966	12503	61973	44074	7033	15056	55307	25405	19496	5430	6142	10516	74871	49110	85671	230148	2097	125977	164510	747	708	1177	1269	234732	65303	208225	45584	125303	108440	81165	159612	1574	154043	25809	34612	23878	39	37123	33767	36177	541	217068	88796	3048	13	59349	8107	5285	27799	31243	193	634	4379	3728	287	905	56463	14692	410	13289	2470
c__Neocallimastigomycetes	22	94	11	196	94	52	20	24	101	58	93	12	16	43	32	163	38	15	162	151	3	26	3	5	137	111	69	60	127	59	121	52	6	111	48	45	37	0	52	92	38	0	77	67	15	0	52	104	69	13	26	3	11	1	2	5	6	41	17	2	6	24
c__Candidatus Micrarchaeia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	9	5	0	0	0	0	1	0	0	2	0	0	0
c__Palmophyllophyceae	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
c__Eustigmatophyceae	11	73	13	25	27	9	6	30	30	16	13	20	4	61	177	11	11	2	77	26	11	83	30	1	29	22	10	14	15	4	14	18	30	9	6	20	25	0	26	16	15	0	20	18	4	0	7	20	5	34	104	13	42	0	5	21	3	7	14	3	23	10
c__Balneolia	165	299	212	71	100	113	108	207	41	1597	1290	297	254	325	98	31	60	74	73	65	53	419	134	37	80	100	54	64	26	24	94	29	342	33	125	103	79	47	93	3368	168	465	7	11	289	9	94	181	121	355	1035	92	336	81	141	554	322	221	571	1808	4618	1705
c__Coleochaetophyceae	0	0	0	3	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	3	1	0	6	3	0	2	16	0	5	0	6	0	0	4	0	9	0	3	2	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
c__Theionarchaea	4	9	2	10	13	17	8	9	8	11	12	8	12	30	4	5	1	5	16	12	26	142	36	13	17	21	9	54	2	1	3	9	80	3	12	8	5	0	12	42	17	54	2	1	2	0	28	27	0	21	40	11	90	67	52	43	27	0	7	43	12	5
c__Lepidosauria	5	57	20	41	105	86	1	50	19	21	11	4	9	32	14	62	20	12	113	103	40	7	19	14	47	68	23	41	29	26	517	36	14	54	23	56	83	0	66	30	42	2	48	21	46	0	19	21	7	25	38	0	4	11	11	9	4	21	7	17	21	22
c__Planctomycetia	18671	51572	35926	24916	28689	9301	2821	43137	9357	10924	4360	5573	3295	19173	20081	5652	16449	3415	138420	106309	3711	10642	72067	818	72317	93058	21261	14363	9258	10078	5724	16770	6170	11445	7119	29953	23025	273	67336	23201	13347	3044	3700	4365	926	25	17513	17450	7313	15516	11506	2074	7237	2052	4350	5871	2362	4907	3111	3506	4210	3961
c__Conoidasida	39	216	53	471	5875	298	132	11293	1924	167	72	180	110	295	127	273	991	29	14192	11970	22	42	68	28	2394	7317	523	1228	1141	793	123	67	124	93	100	3534	2225	3	3175	3679	1335	30	630	690	15	0	60	256	148	68	163	2	23	127	165	31	20	139	78	87	67	107
