#NAME	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_chip_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_chip_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_chip_S1	H827_swab_1_S1	H827_swab_2_S1	H831_chip_2_S1	H831_chip_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H835_chip_2_S1	H835_chip_S1	H837_swab_1_S1	H837_swab_2_S1	H838_chip_S1	H840_chip_S1	H840_swab_1_S1	H840_swab_2_S1	H841_chip_S1	H841_swab_1_S1	H841_swab_2_S1
f__Coccinellidae	6	6	5	12	20	13	0	14	2	6	0	3	0	0	3	2	6	0	5	6	0	4	1	2	4	19	1	124	4	0	0	2	0	0	14	21	1317	5	1115	55	6	0	4	0	0	0	6	3	2	2	65	1	2	1	2	0	0	0	0	0	0	5
f__Ceramiaceae	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
f__Pucciniaceae	256	483	290	2273	1442	166	162	1760	1450	656	173	40	43	314	329	1542	310	106	864	865	20	27	190	27	1718	1130	409	283	1329	483	1110	893	18	316	166	1065	509	2	907	330	1049	5	266	176	155	0	220	185	55	317	695	2	37	71	25	8	47	723	190	14	81	91
f__Dermocarpellaceae	3	2	1	11	7	3	0	8	1	114	25	9	26	5	8	0	6	4	8	13	12	101	11	0	2	12	0	2	0	2	1	12	8	14	4	5	55	0	34	61	15	8	3	0	9	0	1	8	0	21	8	17	80	0	1	7	5	27	4	233	129	44
f__Cynoglossidae	0	0	0	1	3	1	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	1	2	0	0	1	1	1	10	1	2	0	0	1	4	0	7	1	2	2	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0
f__Elioraeaceae	138	85	188	98	74	20	32	82	36	55	103	66	57	63	73	31	36	37	177	92	15	34	741	2	42	160	29	19	26	24	12	46	376	60	52	83	150	13	244	249	122	35	16	70	10	2	21	30	26	249	492	20	73	1	13	66	51	17	80	14	98	68
f__Pythonidae	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Dermacoccaceae	289	106	125	140	193	72	153	224	1114	345	250	202	100	458	655	64	28	515	201	192	1806	1705	10352	407	123	260	132	48	71	517	157	67	682	177	322	365	171	149	240	313	213	166	14	57	246	0	123	58	50	232	337	663	2662	16	35	426	181	253	108	64	78	94
f__Triopsidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
f__Nephropidae	5	11	2	4	20	2	2	1	2	3	4	1	0	3	1	4	8	0	9	9	1	0	2	2	7	4	6	52	4	1	7	9	0	14	2	15	28	1	23	4	0	0	5	4	2	0	2	4	1	0	7	0	0	1	1	0	0	0	1	1	1	1
f__Amylocorticiaceae	0	0	0	0	0	0	0	3	2	1	0	1	1	1	0	2	0	0	0	2	0	2	1	0	4	2	0	0	4	1	0	0	0	0	0	2	4	0	4	0	0	3	1	2	0	0	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	3
f__Mamiellaceae	42	53	34	57	45	18	5	45	24	39	15	106	53	34	16	58	18	20	70	34	11	47	22	21	55	51	17	27	19	18	26	25	28	23	35	29	33	0	32	62	40	16	21	27	11	0	18	53	6	11	29	17	54	5	8	151	21	16	6	32	13	29
f__Methanocorpusculaceae	2	0	2	6	18	5	2	5	0	7	126	2	2	6	0	1	4	0	2	3	0	6	2	0	0	4	2	1	0	3	7	0	11	2	0	5	0	0	10	7	0	2	0	0	1	0	1	4	0	2	0	0	2	2	4	1	2	0	16	6	8	0
f__Cercomonadidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Muridae	0	7	4	6	30	12	14	15	0	17	27	0	2	122	96	8	8	2	1	285	24	6	8	1	18	81	43	63	64	44	55	53	2	163	27	116	353	1	121	75	33	1	165	7	15	0	3	7	3	6	5	2	4	0	2	10	4	4	5	3	1	4
f__Eriophyidae	1	8	0	19	564	102	0	103	2	6	29	5	0	4	16	1	7	2	32	81	5	0	6	0	63	162	5	183	339	42	10	743	2	6	15	137196	398	16	1380	72	1053	6	3	6	0	0	4	4	1	9	14	12	309	14	9	62	0	0	4	15	21	2
f__Sulfuricellaceae	73	32	24	19	17	7	5	29	29	67	286	56	25	41	19	8	13	261	26	35	24	42	48	2	28	48	8	12	9	75	10	7	43	23	83	23	10	2	36	35	17	8	3	3	80	0	11	18	17	46	94	11	25	5	26	117	18	459	586	54	404	975
f__Anaerodiviridae	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Flexibacteraceae	4	7	7	4	14	2	2	7	0	216	528	14	20	37	32	0	1	2	4	9	0	0	0	0	2	6	0	0	0	0	4	4	0	0	0	4	9	0	0	1	2	0	0	0	10	0	0	18	0	2	0	2	11	0	1	0	0	0	20	0	14	113
f__Sigmoideomycetaceae	4	10	5	79	34	13	2	16	20	13	1	1	3	8	3	26	2	0	24	25	0	3	2	2	43	36	8	9	26	6	27	21	4	4	2	4	8	1	6	18	10	1	36	8	6	0	6	20	3	2	3	0	4	6	5	6	2	9	2	1	1	1
f__Laridae	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
f__Periegopidae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Urostylidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Adrianichthyidae	0	7	1	3	6	2	0	9	1	2	0	0	0	0	0	7	2	0	13	12	0	1	2	1	7	13	4	10	4	2	3	10	0	9	0	23	17	0	4	5	2	0	17	13	2	0	0	4	6	2	14	2	3	1	0	2	1	1	0	4	2	2
f__Nereididae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Halimedaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
